ticker,name,sector
MEDCL.PA,MEDINCELL,Health Care
GLO.PA,GL EVENTS,Consumer Discretionary
ALVDM.PA,VOYAGEURS DU MONDE,Consumer Discretionary
WLN.PA,WORLDLINE,Industrials
CRLO.PA,CRCAM LOIRE HTE L.,Financials
SAVE.PA,SAVENCIA,Consumer Staples
LSS.PA,LECTRA,Technology
VETO.PA,VETOQUINOL,Health Care
WAVE.PA,WAVESTONE,Technology
DBV.PA,DBV TECHNOLOGIES,Health Care
CIV.PA,CRCAM ILLE-VIL.CCI,Financials
AUB.PA,AUBAY,Technology
BUR.PA,BURELLE,Consumer Discretionary
GNFT.PA,GENFIT,Health Care
BASS.PA,BASSAC,Real Estate
VLTSA.PA,VOLTALIA,Utilities
THEP.PA,THERMADOR GROUPE,Industrials
AL2SI.PA,2CRSI,Technology
VIRI.PA,VIRIDIEN,Energy
SDG.PA,SYNERGIE,Industrials
CMO.PA,CRCAM MORBIHAN CCI,Financials
WAGA.PA,WAGA ENERGY,Energy
ASY.PA,ASSYSTEM,Industrials
SCHP.PA,SECHE ENVIRONNEM.,Utilities
SBT.PA,OENEO,Industrials
EXPL.PA,EXPLOSIFS PROD.CHI,Basic Materials
LBIRD.PA,LUMIBIRD,Health Care
CEN.PA,GROUPE CRIT,Industrials
CAT31.PA,CA TOULOUSE 31 CCI,Financials
VLA.PA,VALNEVA,Health Care
SMCP.PA,SMCP,Consumer Discretionary
ATO.PA,ATOS GROUP,Technology
ELIOR.PA,ELIOR GROUP,Consumer Discretionary
IDIP.PA,IDI,Financials
FGA.PA,FIGEAC AERO,Industrials
NRG.PA,NRJ GROUP,Consumer Discretionary
EQS.PA,EQUASENS,Health Care
LPE.PA,LAURENT-PERRIER,Consumer Staples
BOI.PA,BOIRON,Health Care
BEN.PA,BENETEAU,Consumer Discretionary
QDT.PA,QUADIENT,Technology
KOF.PA,KAUFMAN ET BROAD,Consumer Discretionary
FCMC.PA,FERM.CAS.MUN.CANNE,Consumer Discretionary
JCQ.PA,JACQUET METALS,Basic Materials
ALBOU.PA,BOURRELIER GROUP,Consumer Discretionary
ALSEM.PA,SEMCO TECHNOLOGIES,Technology
MALT.PA,MALTERIES FCO-BEL.,Consumer Staples
PAT.PA,PATRIMOINE ET COMM,Real Estate
SAMS.PA,SAMSE,Consumer Discretionary
ORIA.PA,FIDUCIAL REAL EST.,Real Estate
ALGIL.PA,GROUPE GUILLIN,Industrials
CVX.PA,CARVOLIX,Health Care
TFF.PA,TFF GROUP,Industrials
SELER.PA,SELECTIRENTE,Real Estate
NXI.PA,NEXITY,Consumer Discretionary
INEA.PA,FONCIERE INEA,Real Estate
IMDA.PA,IMMOB.DASSAULT,Real Estate
LNA.PA,LNA SANTE,Health Care
ALVIO.PA,VALERIO TX,Health Care
MBWS.PA,MBWS,Consumer Staples
ARVEN.PA,ARVERNE GROUP,Utilities
GAM.PA,GAUMONT,Consumer Discretionary
ABCA.PA,ABC ARBITRAGE,Financials
ARAMI.PA,ARAMIS GROUP,Consumer Discretionary
ALCLS.PA,CELLECTIS,Health Care
BSD.PA,BOURSE DIRECT,Financials
YOUNI.PA,YOUNITED FINANCIAL,Financials
PARRO.PA,PARROT,Telecommunications
SWP.PA,SWORD GROUP,Technology
INF.PA,INFOTEL,Technology
EFG.PA,EAGLEFOOTBALLGROUP,Consumer Discretionary
ALBFR.PA,SIDETRADE,Technology
BON.PA,BONDUELLE,Consumer Staples
FSDV.PA,FSDV,Consumer Discretionary
ALSTI.PA,STIF,Industrials
TNG.PA,TRANSGENE,Health Care
GPE.PA,GPE GROUP PIZZORNO,Utilities
ALDLT.PA,DELTA PLUS GROUP,Consumer Discretionary
LIN.PA,LINEDATA SERVICES,Technology
ALSTW.PA,STREAMWIDE,Technology
CRI.PA,CIECHARGEURSINVEST,Industrials
RBO.PA,ROCHE BOBOIS,Consumer Discretionary
MDM.PA,MAISONS DU MONDE,Consumer Discretionary
ALMDT.PA,MEDIANTECHNOLOGIES,Health Care
ALRIB.PA,RIBER,Technology
ALERS.PA,EUROBIO-SCIENTIFIC,Health Care
ALCPB.PA,CAPITAL B,Technology
IPH.PA,INNATE PHARMA,Health Care
LAT.PA,LATECOERE,Industrials
SFPI.PA,GROUPE SFPI,Industrials
ALEXA.PA,EXACOMPTA CLAIREF.,Basic Materials
ALLAN.PA,LANSON-BCC,Consumer Staples
ALLHB.PA,LES HOTELS BAVEREZ,Consumer Discretionary
ALHEX.PA,HEXAOM,Consumer Discretionary
PARP.PA,GROUPE PARTOUCHE,Consumer Discretionary
ALVU.PA,VENTE UNIQUE.COM,Consumer Discretionary
AKW.PA,AKWEL,Consumer Discretionary
DEEZR.PA,DEEZER,Technology
BLC.PA,BASTIDE LE CONFORT,Health Care
ALCIS.PA,CATERING INTL SCES,Industrials
ALTPC.PA,SMTPC,Industrials
ALLIX.PA,WALLIX,Technology
LOCAL.PA,SOLOCAL GROUP,Consumer Discretionary
ATLD.PA,ATLAND,Real Estate
ALESE.PA,ENTECH,Energy
ALNSE.PA,NSE,Industrials
ALFRE.PA,FREELANCE.COM,Technology
ALGEV.PA,GEVELOT,Industrials
ALCGM.PA,CEGEDIM,Technology
ATEME.PA,ATEME,Technology
CBOT.PA,CBO TERRITORIA,Real Estate
